date,open,high,low,close
2019/12/3,108.951,109.207,108.483,108.626
2019/12/2,109.505,109.728,108.924,108.962
2019/11/29,109.485,109.669,109.396,109.449
2019/11/28,109.476,109.546,109.33,109.512
2019/11/27,109.014,109.608,108.989,109.548
2019/11/26,108.886,109.203,108.874,109.059
2019/11/25,108.63,108.978,108.601,108.915
2019/11/22,108.596,108.731,108.477,108.617
2019/11/21,108.524,108.692,108.279,108.61
2019/11/20,108.512,108.74,108.345,108.616
2019/11/19,108.662,108.837,108.452,108.539
2019/11/18,108.782,109.074,108.513,108.674
2019/11/15,108.37,108.855,108.37,108.784
2019/11/14,108.759,108.864,108.232,108.42
2019/11/13,108.96,109.149,108.655,108.808
2019/11/12,108.973,109.293,108.922,109.019
2019/11/11,109.19,109.255,108.895,109.039
2019/11/8,109.289,109.476,109.079,109.234
2019/11/7,108.923,109.487,108.647,109.267
2019/11/6,109.138,109.183,108.818,108.984
2019/11/5,108.573,109.243,108.531,109.162
2019/11/4,108.207,108.65,108.183,108.573
2019/11/1,108.012,108.324,107.886,108.169
2019/10/31,108.798,108.894,107.926,108.015
2019/10/30,108.852,109.287,108.718,108.853
2019/10/29,108.936,109.067,108.751,108.88
2019/10/28,108.686,109.039,108.642,108.972
2019/10/25,108.587,108.773,108.51,108.675
2019/10/24,108.648,108.752,108.494,108.64
2019/10/23,108.455,108.703,108.249,108.693
2019/10/22,108.583,108.726,108.439,108.481
2019/10/21,108.407,108.664,108.276,108.597
2019/10/18,108.626,108.722,108.383,108.41
2019/10/17,108.722,108.941,108.452,108.636
2019/10/16,108.824,108.861,108.546,108.758
2019/10/15,108.378,108.9,108.156,108.85
2019/10/14,108.348,108.522,108.032,108.395
2019/10/11,107.926,108.628,107.833,108.395
2019/10/10,107.439,108.016,107.029,107.926
2019/10/9,107.043,107.629,106.933,107.514
2019/10/8,107.226,107.444,106.803,107.069
2019/10/7,106.666,107.465,106.662,107.249
2019/10/4,106.897,107.132,106.563,106.88
2019/10/3,107.157,107.299,106.483,106.899
2019/10/2,107.713,107.893,107.045,107.172
2019/10/1,108.055,108.469,107.627,107.735
2019/9/30,107.958,108.178,107.744,108.081
2019/9/27,107.804,108.181,107.655,107.948
2019/9/26,107.73,107.957,107.421,107.84
2019/9/25,107,107.884,107,107.756
2019/9/24,107.523,107.798,106.962,107.102
2019/9/23,107.696,107.77,107.31,107.523
2019/9/20,107.962,108.085,107.525,107.539
2019/9/19,108.399,108.473,107.787,108.043
2019/9/18,108.094,108.474,108.071,108.456
2019/9/17,108.129,108.371,108.023,108.107
2019/9/16,107.687,108.165,107.496,108.154
2019/9/13,108.066,108.259,107.904,108.099
2019/9/12,107.77,108.189,107.52,108.083
2019/9/11,107.499,107.852,107.49,107.842
2019/9/10,107.231,107.583,107.178,107.537
2019/9/9,106.811,107.274,106.76,107.239
2019/9/6,106.937,107.101,106.622,106.917
2019/9/5,106.362,107.23,106.318,106.945
2019/9/4,105.915,106.447,105.83,106.423
2019/9/3,106.183,106.385,105.739,105.91
2019/9/2,105.94,106.399,105.887,106.185
2019/8/30,106.491,106.544,106.104,106.244
2019/8/29,106.042,106.682,105.829,106.516
2019/8/28,105.742,106.228,105.651,106.043
2019/8/27,106.123,106.149,105.589,105.748
2019/8/26,104.774,106.413,104.421,106.078
2019/8/23,106.4,106.735,105.254,105.441
2019/8/22,106.573,106.652,106.247,106.421
2019/8/21,106.23,106.646,106.202,106.612
2019/8/20,106.597,106.692,106.162,106.226
2019/8/19,106.293,106.697,106.244,106.614
2019/8/16,106.106,106.493,106.026,106.338
2019/8/15,105.849,106.779,105.7,106.086
2019/8/14,106.706,106.742,105.652,105.901
2019/8/13,105.274,106.973,105.065,106.738
2019/8/12,105.593,105.672,105.05,105.273
2019/8/9,105.804,106.078,105.267,105.618
2019/8/8,106.227,106.304,105.892,106.059
2019/8/7,106.36,106.451,105.494,106.244
2019/8/6,105.942,107.082,105.517,106.45
2019/8/5,106.56,106.671,105.786,105.99
2019/8/2,107.247,107.566,106.505,106.578
2019/8/1,108.704,109.319,107.257,107.373
2019/7/31,108.587,109,108.489,108.765
2019/7/30,108.747,108.947,108.453,108.605
2019/7/29,108.658,108.899,108.42,108.778
2019/7/26,108.612,108.83,108.561,108.658
2019/7/25,108.126,108.756,108.043,108.632
2019/7/24,108.173,108.276,107.932,108.197
2019/7/23,107.84,108.289,107.825,108.202
2019/7/22,107.712,108.069,107.685,107.866
2019/7/19,107.266,107.978,107.215,107.726
2019/7/18,107.934,108.016,107.211,107.298
2019/7/17,108.209,108.326,107.953,107.958
2019/7/16,107.874,108.377,107.818,108.25
2019/7/15,107.864,108.107,107.797,107.895
2019/7/12,108.454,108.608,107.802,107.887
2019/7/11,108.396,108.533,107.858,108.491
2019/7/10,108.814,108.989,108.347,108.466
2019/7/9,108.683,108.963,108.66,108.856
2019/7/8,108.41,108.806,108.279,108.729
2019/7/5,107.783,108.636,107.767,108.491
2019/7/4,107.781,107.842,107.708,107.791
2019/7/3,107.875,107.91,107.534,107.83
2019/7/2,108.421,108.474,107.765,107.909
2019/7/1,108.196,108.533,108.102,108.43
2019/6/28,107.784,107.906,107.561,107.858
2019/6/27,107.749,108.163,107.65,107.783
2019/6/26,107.144,107.849,107.088,107.782
2019/6/25,107.253,107.409,106.777,107.159
2019/6/24,107.263,107.536,107.248,107.296
2019/6/21,107.264,107.736,107.049,107.328
